combo,seed,bb100_0,winrate_0,ruin_hand_0,bb100_1,winrate_1,ruin_hand_1,bb100_2,winrate_2,ruin_hand_2,bb100_3,winrate_3,ruin_hand_3,bb100_4,winrate_4,ruin_hand_4,bb100_5,winrate_5,ruin_hand_5
six_tight,101,0.42900000000000005,0.34766,,0.371,0.3478,,-0.27159890274043297,0.2969934001466634,36818.0,-9.84251968503937,0.15354330708661418,1015.0,-1.066894270777766,0.1950282726981756,9372.0,-0.8950147677436678,0.20818043497717711,11172.0
six_tight,202,0.6275000000000001,0.44418,,-1.128286133363421,0.23592463048629134,8862.0,-0.7963185274109644,0.26186474589835934,12494.0,-14.556040756914118,0.14119359534206696,686.0,0.17149999999999999,0.43986,,-5.399568034557236,0.1808855291576674,1851.0
six_tight,303,-0.9541074324968991,0.24997614731418757,10480.0,2.2101160421649393,0.3889184161573213,,-1.153623188405797,0.22933333333333333,8624.0,-7.689335394126738,0.1553323029366306,1293.0,-4.547521600727603,0.1800818553888131,2198.0,-0.4429090264859598,0.3809903445832226,22577.0
six_tight,404,-1.256913021618904,0.19972347913524385,7955.0,-0.24611302601234905,0.38227490267066727,40326.0,-0.6726759047490919,0.22265572447194942,14865.0,1.2380043147271058,0.38468023904580056,,-0.5417998591320367,0.23931299777862058,18456.0,-18.315018315018314,0.16483516483516483,545.0
six_tight,505,-2.3073373327180433,0.18481772035071528,4333.0,-1.398478230238129,0.2057207270677751,7096.0,0.1885,0.42758,,-0.5728032993470042,0.2799862527208157,17457.0,-7.598784194528875,0.1519756838905775,1315.0,0.61,0.42536,
six_loose,101,-344.8275862068965,0.1724137931034483,28.0,4.976114649681529,0.48128980891719747,,-344.8275862068965,0.10344827586206896,28.0,-0.9952229299363057,0.48656449044585987,10047.0,-12.64222503160556,0.3173198482932996,790.0,-72.99270072992701,0.20437956204379562,136.0
six_loose,202,-5.47945205479452,0.46301369863013697,1824.0,27.397260273972602,0.4794520547945205,,-555.5555555555555,0.0,17.0,-384.61538461538464,0.15384615384615385,25.0,-39.21568627450981,0.25882352941176473,254.0,-69.93006993006993,0.24475524475524477,142.0
six_loose,303,-625.0,0.0625,15.0,-833.3333333333334,0.0,11.0,-78.34645669291339,0.2125984251968504,126.0,-6.12369871402327,0.4758113900796081,1632.0,30.587875076546233,0.48805878750765463,,-84.03361344537815,0.25210084033613445,118.0
six_loose,404,-833.3333333333334,0.16666666666666666,11.0,-14.184397163120568,0.3191489361702128,704.0,-414.5833333333333,0.125,23.0,3.5349776738252183,0.49705861506839605,,-0.7034516974980509,0.4813948543482883,14108.0,-120.48192771084338,0.2891566265060241,82.0
six_loose,505,-232.55813953488374,0.11627906976744186,42.0,-47.16981132075472,0.22169811320754718,211.0,-126.58227848101266,0.16455696202531644,78.0,4.39159486548268,0.4877791454193775,,-0.8748021804114648,0.4940214524353789,11373.0,-26.385224274406333,0.24538258575197888,378.0
